[9, 14, 19, 0, -1, 0, 2, 0, -1, 0, 2, 4]
[0, -18, 15, 4, -2, 1, 4, 0, 5, -2, -3, 4]
[0, 3, 1, 4, -3, 2, 3, 5, 2, -1, 3, 4]
[9, 16, 2, 3, 5, -5, -2, -4, -2, 6, 1, 2]
[1, 8, 15, 4, 2, 6, 3, 5, -1, -3, -1, 6]
[7, -2, 7, 2, -3, -1, 2, 4, 2, -1, -4, 3]
[4, 17, 14, 1, -4, 1, 2, -5, 6, 5, 5, -4]
[8, 10, 5, 0, -3, 5, -1, -4, 0, -1, 2, -5]
[6, -12, 17, 0, -2, -5, 4, -3, -3, 2, 5, 6]
[2, -8, 18, -1, -3, 5, -3, 6, 0, -5, 2, 1]
[9, -9, 6, 3, 0, 3, 1, 6, 6, 6, -2, 2]
[8, -15, 17, -3, 5, 6, -5, 2, 6, -2, 4, 1]
[4, 0, 1, 5, 3, 0, -4, 1, 6, 3, -3, 6]
[1, -20, 4, 2, -1, -3, 5, 6, 4, 5, 1, 4]
[5, -19, 10, -3, 3, 4, 5, 6, -1, 2, 3, -4]
[3, -13, 19, -3, 2, -2, 3, 0, 1, -3, -5, -2]
[6, 3, 17, -4, -1, 4, 6, -2, -3, -1, 4, 3]
[8, -9, 19, 4, 1, 2, -5, 2, 3, -4, 2, -1]
[7, -11, 18, 2, 4, 6, 5, 4, 2, -3, 6, -2]
[5, -6, 15, -3, -3, 4, 4, 5, -2, -2, 0, 1]
[7, 19, 8, -4, 5, 1, -4, 2, -3, 0, -2, 4]
[6, -10, 13, -4, 6, 1, 4, -2, -1, 4, -4, -4]
[7, -11, 8, -1, -5, 3, -4, 0, 4, -4, 6, 0]
[7, 8, 12, 1, 3, -1, -4, 2, 4, -1, -3, -5]
[1, 9, 17, 0, -3, 1, 3, 0, -2, -3, 0, -2]
[6, -14, 17, -3, -3, 3, 1, -1, 5, 5, 1, 3]
[1, -17, 1, -4, -3, 2, 4, 4, -3, 3, -1, 1]
[0, -4, 17, 2, -3, 3, 4, 4, 4, 4, -2, 4]
[2, -6, 13, 1, 6, -1, 4, 1, 2, -3, -1, -3]
[0, -2, 2, 0, -1, -3, 4, -5, -5, -1, 2, 1]
[4, 6, 14, 3, -4, 5, 3, -1, 0, -1, -5, 1]
[3, 11, 10, 1, -5, -1, -1, 3, -4, 3, -2, -4]
[3, -1, 12, -4, -2, 0, -4, 4, -5, -3, -2, 6]
[5, -13, 16, -3, 4, -2, -2, 6, -3, 4, 4, 2]
[9, -2, 7, 5, -4, -1, -1, -2, -4, 1, 0, -1]
[4, 2, 8, 5, -4, -3, 5, 6, -1, -4, 1, 5]
[6, 16, 17, 1, 2, -2, -1, 6, 4, 4, 2, -2]
[6, 12, 7, 4, -5, 4, 0, 2, 2, 1, 2, 2]
[0, 1, 15, -3, 0, -2, 3, -4, 1, 4, 4, -1]
[1, 1, 3, 2, -3, 3, 1, 0, 6, 3, -5, -2]
[8, -7, 2, 2, 4, 3, 4, -2, 5, -5, 5, -4]
[9, 7, 5, 0, 3, 5, -4, -4, 2, 5, 6, 0]
[6, -7, 10, 1, 2, 2, -1, -2, -5, 6, 3, -2]
[8, -5, 5, 3, 2, 6, -1, 0, -1, 2, 3, 1]
[0, -6, 15, 4, 0, 0, 0, 0, 0, 0, 0, 1]
[1, 10, 14, -2, 0, 0, 0, 0, 0, 0, 0, 0]
[3, 12, 2, 1, -5, 0, 6, -4, 1, -4, 3, 6]
[3, -9, 7, 5, -3, 6, 3, 3, 3, 1, 3, 1]
[8, 9, 9, 3, 3, 1, -5, 4, -4, -4, -4, 1]
[8, 8, 15, 0, 0, 5, 4, 5, 0, -2, -1, 0]
[2, -7, 15, -4, 3, 5, 6, 1, 1, -2, -2, 1]
[9, -10, 2, -2, -3, 4, 4, 0, -5, -3, 1, 5]
[7, -9, 8, 5, -4, 5, 2, -3, -1, 4, -2, -5]
[1, -13, 12, 4, -3, 3, -3, 0, 1, 6, -3, 1]
[1, -7, 15, 1, 5, -3, 1, 5, 6, -5, -3, 1]
[2, 4, 15, 3, 3, 3, -4, 6, -1, -5, 1, 0]
[1, -17, 10, -1, 0, -1, 3, 4, -4, 0, 6, 0]
[0, 1, 12, -1, -2, 1, 4, -1, 3, 5, -1, 1]
[4, 10, 12, -2, 4, -2, -4, 4, -4, 0, 1, -2]
[5, 10, 18, -2, -4, 4, -1, -5, 1, -1, 4, -5]
[7, -15, 2, -1, 2, 6, 0, -4, 6, 6, 5, 6]
[6, -11, 14, 5, -1, 3, 6, 6, 2, -1, 0, 0]
[1, -19, 6, 2, 2, 0, -3, -4, 1, -2, 1, 2]
[2, 3, 12, 4, 2, 1, 2, 2, 6, 6, -2, 0]
[4, -15, 3, -4, 0, 1, 2, 5, -3, -3, -4, 6]
[5, 12, 10, 5, 0, 2, 3, -3, 1, 2, -1, -4]
[2, -17, 9, -3, -3, -5, 5, 2, 4, 6, -1, 0]
[8, -3, 3, -4, 2, 4, 6, -1, -2, 4, 3, -5]
[6, 1, 10, 4, 4, -4, 0, 6, -3, 5, 2, -1]
[1, -9, 14, 2, -5, 5, 1, 5, 3, 0, 3, 0]
[7, 6, 9, 4, -1, 6, 2, 2, 1, -1, 3, 4]
[5, 18, 14, -3, 4, -2, -2, -4, 1, 6, 1, 4]
[9, 15, 19, 4, 0, 0, 5, -2, -3, -1, 1, 6]
[4, -11, 19, 4, 3, 5, 4, 1, -4, -4, 5, -5]
[2, -14, 8, -1, 2, 2, -2, -2, -3, -1, 4, -5]
[0, 4, 1, 1, 2, -3, 4, -2, -1, -4, -3, 0]
[8, 10, 3, -4, -3, 2, 1, -5, 6, -1, 3, -3]
[5, 14, 18, 2, -2, 1, 0, -3, -3, -2, -5, -2]
[5, 15, 6, -2, -2, 1, 3, 1, 4, 5, -3, -2]
[2, -12, 6, -3, 0, 0, 0, 0, 0, 0, 0, -3]
[5, 10, 4, -4, 0, 0, 0, 0, 0, 0, 0, -2]
[3, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, -2]
